Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Matriculados
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;11;ODONTOLOGIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;447;ODONTOLOGIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;212
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;11;ODONTOLOGIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;447;ODONTOLOGIA;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;214
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;12;TERAPIA OCUPACIONAL;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;442;TERAPIAS;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;118
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;12;TERAPIA OCUPACIONAL;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;442;TERAPIAS;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;100
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;12;TERAPIA OCUPACIONAL;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;442;TERAPIAS;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;46
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;12;TERAPIA OCUPACIONAL;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;4;CIENCIAS DE LA SALUD;442;TERAPIAS;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;44
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;13;ANTROPOLOGIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;5;CIENCIAS SOCIALES Y HUMANAS;553;ANTROPOLOGIA ARTES LIBERALES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;1;196
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;13;ANTROPOLOGIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;5;CIENCIAS SOCIALES Y HUMANAS;553;ANTROPOLOGIA ARTES LIBERALES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2014;2;196
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;13;ANTROPOLOGIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;5;CIENCIAS SOCIALES Y HUMANAS;553;ANTROPOLOGIA ARTES LIBERALES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;1;269
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;UNIVERSIDAD;11;BOGOTA D.C.;11001;BOGOTA D.C.;13;ANTROPOLOGIA;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;5;CIENCIAS SOCIALES Y HUMANAS;553;ANTROPOLOGIA ARTES LIBERALES;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;1;MASCULINO;2014;2;266
