Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Matriculados;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;11;BOGOTA D.C.;11001;BOGOTA D.C.;2;FEMENINO;2015;2;1;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;17;CALDAS;17001;MANIZALES;2;FEMENINO;2015;1;194;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;17;CALDAS;17001;MANIZALES;2;FEMENINO;2015;2;180;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;17;CALDAS;17001;MANIZALES;1;MASCULINO;2015;1;118;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;17;CALDAS;17001;MANIZALES;1;MASCULINO;2015;2;122;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;23;CORDOBA;23001;MONTERIA;2;FEMENINO;2015;1;27;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;23;CORDOBA;23001;MONTERIA;2;FEMENINO;2015;2;34;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;23;CORDOBA;23001;MONTERIA;1;MASCULINO;2015;1;33;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1875;ADMINISTRACION DE EMPRESAS;1;PREGRADO;6;UNIVERSITARIA;2;DISTANCIA (TRADICIONAL);6;ECONOMIA ADMINISTRACION CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;23;CORDOBA;23001;MONTERIA;1;MASCULINO;2015;2;30;
2719;2719;FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM;PRINCIPAL;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLIN;1876;ESPECIALIZACION EN FARMACODEPENDENCIA;2;POSGRADO;1;ESPECIALIZACION;1;PRESENCIAL;5;CIENCIAS SOCIALES Y HUMANAS;566;PSICOLOGIA;;;;;;;5;ANTIOQUIA;5001;MEDELLIN;2;FEMENINO;2015;1;1;
