Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Inscritos
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;36;QUIMICA;1;Pregrado;6;Universitaria;1;Presencial;9;Matemáticas y Ciencias Naturales;939;Química y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;5
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;38;ESPECIALIDAD EN CIRUGIA GENERAL;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;94
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;39;ESPECIALIDAD EN CIRUGIA PEDIATRICA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;19
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;40;ESPECIALIDAD EN CIRUGIA PLASTICA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;85
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;41;ESPECIALIDAD EN DERMATOLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;47
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;45;ESPECIALIDAD EN GASTROENTEROLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;7
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;46;ESPECIALIDAD EN OBSTETRICIA Y GINECOLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;56
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;47;ESPECIALIDAD EN MEDICINA FISICA Y REHABILITACION;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;36
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;48;ESPECIALIDAD EN MEDICINA INTERNA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;267
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;49;ESPECIALIDAD EN NEUROCIRUGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;41
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;50;ESPECIALIDAD EN OFTALMOLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;21
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;51;ESPECIALIDAD EN ORTODONCIA;2;Posgrado;1;Especialización Universitaria;1;Presencial;4;Ciencias de la Salud;447;Odontología;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;33
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;52;ESPECIALIDAD EN ORTOPEDIA Y TRAUMATOLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;109
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;53;ESPECIALIDAD EN OTORRINOLARINGOLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;24
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;55;ESPECIALIDAD EN PEDIATRIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;85
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;57;ESPECIALIDAD EN PSIQUIATRIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;17
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;58;ESPECIALIDAD EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;98
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;59;ESPECIALIDAD EN REUMATOLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;4
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;60;ESPECIALIDAD EN UROLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;50
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;61;ESPECIALIDAD EN ENDOCRINOLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;26
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;64;ESPECIALIDAD EN ANESTESIOLOGIA Y REANIMACION;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;179
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;66;ESPECIALIDAD EN PATOLOGIA ANATOMICA Y CLINICA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;8
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;67;ESPECIALIDAD EN NEUROLOGIA CLINICA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;36
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;69;ESPECIALIZACIÓN EN DERECHO DEL TRABAJO;2;Posgrado;1;Especialización Universitaria;1;Presencial;5;Ciencias Sociales y Humanas;559;Derecho y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;9
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;70;ESPECIALIZACION EN DERECHO ADMINISTRATIVO;2;Posgrado;1;Especialización Universitaria;1;Presencial;5;Ciencias Sociales y Humanas;559;Derecho y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;90
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;71;ESPECIALIZACIÓN EN INSTITUCIONES JURÍDICO-PENALES;2;Posgrado;1;Especialización Universitaria;1;Presencial;5;Ciencias Sociales y Humanas;559;Derecho y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;26
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;79;ESPECIALIZACION EN CIENCIA Y TECNOLOGIA DE ALIMENTOS;2;Posgrado;1;Especialización Universitaria;1;Presencial;8;Ingeniería, Arquitectura, Urbanismo y Afines;823;Ingeniería Agroindustrial, Alimentos y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;85;ESPECIALIZACION EN ESTADISTICA;2;Posgrado;1;Especialización Universitaria;1;Presencial;9;Matemáticas y Ciencias Naturales;937;Matemáticas, Estadística y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;41
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;86;MAESTRIA EN SALUD Y PRODUCCION ANIMAL;2;Posgrado;2;Maestría;1;Presencial;1;Agronomía, Veterinaria y Afines;13;Medicina Veterinaria;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;6
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;87;MAESTRIA EN GENETICA HUMANA;2;Posgrado;2;Maestría;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;7
