Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Graduados
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;9;MEDICINA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;445;Medicina;9;Salud y Bienestar;91;Salud;912;Medicina;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;1;54
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;9;MEDICINA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;445;Medicina;9;Salud y Bienestar;91;Salud;912;Medicina;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;2;65
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;9;MEDICINA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;445;Medicina;9;Salud y Bienestar;91;Salud;912;Medicina;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;1;37
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;9;MEDICINA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;445;Medicina;9;Salud y Bienestar;91;Salud;912;Medicina;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;2;44
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;10;NUTRICION Y DIETETICA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;1;8
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;10;NUTRICION Y DIETETICA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;2;8
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;10;NUTRICION Y DIETETICA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;1;15
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;10;NUTRICION Y DIETETICA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;2;9
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;11;ODONTOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;447;Odontología;9;Salud y Bienestar;91;Salud;911;Odontología y estudios dentales;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;1;1
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;11;ODONTOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;447;Odontología;9;Salud y Bienestar;91;Salud;911;Odontología y estudios dentales;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;2;10
